German,English
fertig,finished
halt,stop
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,Thing
hilfe,Help
verdammt,Damn it
ne,ne
jeder,everyone
warst,beings
gern,gladly
konnte,could
darüber,about that
halten,keep
siehst,see
verstehe,understand
jahren,years
kam,came
kind,child
wusste,knew
wahr,true
seinen,his
dazu,to
bruder,brothers
daran,to it
ihrem,hers
denken,think
könnten,might
dank,thanks to
würden,would
lieber,rather
fall,case
deiner,yours
sehe,see
egal,no matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,make
komme,come
sage,legend
mag,like
sieh,see
echt,real
gib,give
eigentlich,actually
jeden,every
dad,dad
gab,gave
uhr,clock
stadt,city
männer,Men
baby,infant
fahren,drive
namen,names
bekommen,to get
kopf,head
hi,Hi
gehe,go
kleine,small
später,later
glück,luck
letzte,last
freunde,friends
n,n
all,Alles
darauf,thereon
ende,end
dr,Dr
bald,soon
töten,kill
dinge,things
meinst,mean
toll,Great
eins,one
minuten,minute
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tür,door
auto,automobile
jungs,guys
eure,your
augen,eyes
polizei,police
stehen,stand
sterben,die
hätten,have
draußen,outside
kenne,know
fast,nearly
runter,down
vorbei,over
treffen,meeting
gerne,gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,Behind
sorgen,worries
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
idee,idea
schwester,sister
drin,in it
ruhig,calm
sah,saw
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,Surname
sogar,even
kurz,short
kerl,Guy
frauen,women
liegt,lies
suchen,Looking for
finde,find
je,ever
woher,where from
lang,long
job,job
keiner,none
seinem,his
hört,hear
verstehen,to understand
spielen,to play
s,S
überhaupt,at all
teufel,devil
verstanden,Roger that
verloren,lost
große,size
hand,hand
grund,ground
jahr,year
kommst,come
mama,mummy
ruhe,Quiet
gewesen,been
tod,death
stunden,hours
hoffe,hope
denkst,thinking
oben,above
gestern,yesterday
versuchen,to attempt
art,kind
letzten,last
schatz,sweetheart
endlich,at last
he,hey
nimm,take
etwa,about
erzählt,told
läuft,runs
schwer,difficult
anders,different
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tries
gekommen,came
geschichte,story
wenig,little
holen,to fetch
bedeutet,means
nett,kind
