,German,English
313,warst,beings
314,gern,gladly
315,konnte,could
316,darüber,about that
317,halten,keep
318,siehst,see
319,verstehe,understand
320,jahren,years
321,kam,came
322,kind,child
323,wusste,knew
324,wahr,true
325,seinen,his
326,dazu,to
327,bruder,brothers
328,daran,to it
329,ihrem,hers
330,denken,think
331,könnten,might
332,dank,thanks to
333,würden,would
334,lieber,rather
335,fall,case
336,deiner,yours
337,sehe,see
338,egal,no matter
339,kennen,know
340,deinem,yours
341,vergessen,forget
342,frage,ask
343,mache,make
344,komme,come
345,sage,legend
346,mag,like
347,sieh,see
348,gib,give
349,eigentlich,actually
350,jeden,every
351,dad,dad
352,gab,gave
353,uhr,clock
354,stadt,city
355,männer,Men
356,baby,infant
357,fahren,drive
358,namen,names
359,bekommen,to get
360,kopf,head
361,hi,Hi
362,kleine,small
363,glück,luck
364,letzte,last
365,freunde,friends
366,n,n
367,all,Alles
368,darauf,thereon
369,ende,end
370,dr,Dr
371,bald,soon
372,töten,kill
373,dinge,things
374,meinst,mean
375,toll,Great
376,eins,one
377,minuten,minute
378,vielen,many
379,bereit,ready
380,weit,far
381,ahnung,idea
382,seiner,his
383,bisschen,a little
384,auto,automobile
385,jungs,guys
386,eure,your
387,augen,eyes
388,polizei,police
389,stehen,stand
390,sterben,die
391,hätten,have
392,draußen,outside
393,kenne,know
394,fast,nearly
395,runter,down
396,vorbei,over
397,treffen,meeting
398,gerne,gladly
399,dran,your turn
400,wurden,became
401,arbeiten,work
402,mom,mom
403,verrückt,crazy
404,neue,new
405,ging,went
406,hinter,Behind
407,sorgen,worries
408,einzige,only
409,jemanden,someone
410,darum,therefore
411,tochter,daughter
412,braucht,needs
413,schwester,sister
414,drin,in it
415,ruhig,calm
416,sah,saw
417,ganzen,entire
418,spät,late
419,ziemlich,quite
420,solltest,should
421,name,Surname
422,sogar,even
423,kurz,short
424,kerl,Guy
425,frauen,women
426,liegt,lies
427,suchen,Looking for
428,finde,find
429,je,ever
430,woher,where from
431,lang,long
432,job,job
433,keiner,none
434,seinem,his
435,hört,hear
436,verstehen,to understand
437,überhaupt,at all
438,teufel,devil
439,verstanden,Roger that
440,verloren,lost
441,große,size
442,hand,hand
443,grund,ground
444,jahr,year
445,kommst,come
446,mama,mummy
447,ruhe,Quiet
448,gewesen,been
449,tod,death
450,stunden,hours
451,hoffe,hope
452,denkst,thinking
453,oben,above
454,gestern,yesterday
455,versuchen,to attempt
456,art,kind
457,letzten,last
458,schatz,sweetheart
459,endlich,at last
460,he,hey
461,nimm,take
462,etwa,about
463,erzählt,told
464,läuft,runs
465,schwer,difficult
466,anders,different
467,miss,miss
468,musste,had to
469,fünf,five
470,wasser,water
471,lässt,leaves
472,erste,first
473,gekommen,came
474,geschichte,story
475,wenig,little
476,holen,to fetch
477,bedeutet,means
478,nett,kind
